Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
255,7,3,YES,0,5,*,*,3,YES,D
256,7,3,YES,0,5,*,*,3,YES,D
257,7,3,YES,0,5,*,*,3,YES,D
258,7,3,YES,0,5,*,*,3,YES,D
259,7,3,YES,0,7,*,*,3,YES,D
260,7,3,YES,0,5,*,*,3,YES,D
261,7,3,YES,0,7,*,*,3,YES,D
262,7,3,YES,0,5,*,*,3,YES,D
263,7,3,YES,0,7,*,*,3,YES,D
264,7,4,YES,0,4,*,*,4,YES,D
265,7,3,YES,0,5,*,*,3,YES,D
266,7,3,YES,0,7,*,*,3,YES,D
267,7,3,YES,0,7,*,*,3,YES,D
268,7,3,YES,0,7,*,*,3,YES,D
269,7,5,YES,0,3,*,*,5,YES,D
270,7,1,NO,1,6,7,YES,1,YES,K
271,7,1,NO,1,6,7,YES,1,YES,K
272,7,1,NO,1,6,7,YES,1,YES,K
273,7,1,NO,1,6,7,YES,1,YES,K
274,7,1,NO,1,6,7,YES,1,YES,K
275,7,3,YES,0,4,*,*,3,YES,D
276,7,1,NO,1,6,7,YES,1,YES,K
277,7,3,YES,0,4,*,*,3,YES,D
278,7,1,NO,1,6,7,YES,1,YES,K
279,7,1,NO,1,6,7,YES,1,YES,K
280,7,1,NO,1,6,7,YES,1,YES,K
281,7,3,YES,0,6,*,*,3,YES,D
282,7,3,YES,0,4,*,*,3,YES,D
283,7,3,YES,0,4,*,*,3,YES,D
284,7,1,NO,1,6,7,YES,1,YES,K
285,7,3,YES,0,4,*,*,3,YES,D
286,7,1,NO,1,6,7,YES,1,YES,K
287,7,3,YES,0,4,*,*,3,YES,D
288,7,3,YES,0,6,*,*,3,YES,D
289,7,3,YES,0,6,*,*,3,YES,D
290,7,5,YES,0,4,*,*,5,YES,D
291,7,4,YES,0,5,*,*,4,YES,D
292,7,4,YES,0,5,*,*,4,YES,D
293,7,5,YES,0,6,*,*,5,YES,D
294,7,3,YES,0,5,*,*,3,YES,D
295,7,3,YES,0,5,*,*,3,YES,D
296,7,3,YES,0,5,*,*,3,YES,D
297,7,3,YES,0,5,*,*,3,YES,D
298,7,3,YES,0,5,*,*,3,YES,D
299,7,5,YES,0,3,*,*,5,YES,D
300,7,4,YES,0,4,*,*,4,YES,D
301,7,3,YES,0,6,*,*,3,YES,D
302,7,4,YES,0,4,*,*,4,YES,D
303,7,3,YES,0,5,*,*,3,YES,D
304,7,3,YES,0,8,*,*,3,YES,D
305,7,3,YES,0,6,*,*,3,YES,D
306,7,3,YES,0,6,*,*,3,YES,D
307,7,3,YES,0,5,*,*,3,YES,D
308,7,3,YES,0,8,*,*,3,YES,D
309,7,4,YES,0,6,*,*,4,YES,D
310,7,3,YES,0,6,*,*,3,YES,D
311,7,3,YES,0,8,*,*,3,YES,D
312,7,3,YES,0,8,*,*,3,YES,D
313,7,4,YES,0,4,*,*,4,YES,D
314,7,2,NO,1,5,6,YES,2,YES,K
315,7,2,NO,1,5,6,YES,2,YES,K
316,7,2,NO,1,5,6,YES,2,YES,K
317,7,2,NO,1,5,5,NO,2,YES,K
318,7,2,NO,1,5,6,YES,2,YES,K
319,7,2,NO,1,7,6,YES,2,YES,K
320,7,2,NO,1,5,6,YES,2,YES,K
321,7,2,NO,1,5,6,YES,2,YES,K
322,7,2,NO,1,7,6,YES,2,YES,K
323,7,3,YES,0,4,*,*,3,YES,D
324,7,2,NO,1,5,6,YES,2,YES,K
325,7,2,NO,1,7,6,YES,2,YES,K
326,7,2,NO,1,5,6,YES,2,YES,K
327,7,2,NO,1,7,6,YES,2,YES,K
328,7,2,NO,1,5,5,NO,2,YES,K
329,7,2,NO,1,5,6,YES,2,YES,K
330,7,3,YES,0,4,*,*,3,YES,D
331,7,2,NO,1,5,6,YES,2,YES,K
332,7,2,NO,1,7,6,YES,2,YES,K
333,7,2,NO,1,5,6,YES,2,YES,K
334,7,2,NO,1,7,6,YES,2,YES,K
335,7,4,YES,0,3,*,*,4,YES,D
336,7,2,NO,1,5,6,YES,2,YES,K
337,7,2,NO,1,7,6,YES,2,YES,K
338,7,2,NO,1,5,6,YES,2,YES,K
339,7,2,NO,1,5,6,YES,2,YES,K
340,7,2,NO,1,7,6,YES,2,YES,K
341,7,2,NO,1,7,6,YES,2,YES,K
342,7,2,NO,1,7,6,YES,2,YES,K
343,7,2,NO,1,5,6,YES,2,YES,K
344,7,2,NO,1,7,6,YES,2,YES,K
345,7,3,YES,0,5,*,*,3,YES,D
346,7,3,YES,0,4,*,*,3,YES,D
347,7,3,YES,0,7,*,*,3,YES,D
348,7,2,NO,1,7,6,YES,2,YES,K
349,7,2,NO,1,5,6,YES,2,YES,K
350,7,2,NO,1,7,6,YES,2,YES,K
351,7,2,NO,1,7,6,YES,2,YES,K
352,7,4,YES,0,3,*,*,4,YES,D
353,7,2,NO,2,7,6,YES,2,YES,KEZ
354,7,4,YES,0,5,*,*,4,YES,D
355,7,5,YES,0,4,*,*,5,YES,D
356,7,5,YES,0,6,*,*,5,YES,D
357,7,4,YES,0,4,*,*,4,YES,D
358,7,4,YES,0,4,*,*,4,YES,D
359,7,3,YES,0,5,*,*,3,YES,D
360,7,3,YES,0,5,*,*,3,YES,D
361,7,3,YES,0,5,*,*,3,YES,D
362,7,3,YES,0,5,*,*,3,YES,D
363,7,3,YES,0,5,*,*,3,YES,D
364,7,4,YES,0,6,*,*,4,YES,D
365,7,4,YES,0,6,*,*,4,YES,D
366,7,4,YES,0,4,*,*,4,YES,D
367,7,4,YES,0,6,*,*,4,YES,D
368,7,4,YES,0,4,*,*,4,YES,D
369,7,3,YES,0,6,*,*,3,YES,D
370,7,3,YES,0,9,*,*,3,YES,D
371,7,3,YES,0,6,*,*,3,YES,D
372,7,3,YES,0,5,*,*,3,YES,D
373,7,3,YES,0,7,*,*,3,YES,D
374,7,4,YES,0,4,*,*,4,YES,D
375,7,4,YES,0,7,*,*,4,YES,D
376,7,4,YES,0,6,*,*,4,YES,D
377,7,3,YES,0,5,*,*,3,YES,D
378,7,4,YES,0,9,*,*,4,YES,D
379,7,2,NO,1,5,6,YES,2,YES,K
380,7,2,NO,1,5,5,NO,2,YES,K
381,7,2,NO,1,5,6,YES,2,YES,K
382,7,2,NO,1,5,6,YES,2,YES,K
383,7,2,NO,1,5,5,NO,2,YES,K
